Category,Price,Rating,Stock,Discount
,6784,2.087959114,Out of Stock,13
,7635,,Out of Stock,5
,9529,1.460956388,In Stock,31
,1595,1.306888079,,37
,5669,,Out of Stock,38
,5861,1.470392122,Out of Stock,40
,2349,,Out of Stock,48
,5766,,Out of Stock,3
,7362,,Out of Stock,33
,3256,2.771753929,In Stock,45
,9284,,Out of Stock,45
C,8597,3.517120302,In Stock,23
C,4405,1.102682255,,33
C,2117,,,45
A,8642,,In Stock,43
C,,,Out of Stock,3
A,6022,,In Stock,48
,8132,2.765849835,In Stock,15
,3170,2.198862485,In Stock,18
C,2608,1.873083818,In Stock,8
,9544,1.508629504,In Stock,47
,6220,1.410986435,,32
,1959,4.96277529,Out of Stock,45
A,1403,,,
,3713,,Out of Stock,32
,6148,,,3
,3862,3.813108432,,22
D,9438,3.69118375,Out of Stock,36
B,395,,In Stock,24
,6080,4.132381742,Out of Stock,18
C,5296,2.741556903,Out of Stock,34
,5348,1.587225808,Out of Stock,31
,6248,2.88913025,,39
,8369,1.774151571,In Stock,44
,3155,2.756254196,In Stock,6
,2539,,,9
,3112,,Out of Stock,16
D,2489,4.668760788,In Stock,42
,5533,,In Stock,34
,8603,1.895138279,Out of Stock,35
,6989,,Out of Stock,10
D,3064,1.783514836,Out of Stock,22
,176,,Out of Stock,33
,8159,3.09958404,Out of Stock,31
A,5080,2.117221312,Out of Stock,1
,5642,,,28
,7027,1.815593804,In Stock,
,8407,1.13401815,Out of Stock,38
,878,,,41
,2546,1.158313467,Out of Stock,34
,9537,,Out of Stock,25
,9600,3.316477941,In Stock,32
,7194,3.329432651,,38
,6968,3.739367233,,
C,6292,1.155726981,Out of Stock,17
C,4870,,Out of Stock,14
,6737,,,38
,250,1.436882566,In Stock,30
C,,3.42631698,,7
,312,1.537020149,,39
D,8394,1.818813296,Out of Stock,22
,1421,4.23336229,,
,8693,3.186790809,In Stock,24
,2846,3.64085803,,6
,3671,,,47
C,766,3.457552836,,19
,615,,Out of Stock,2
,4309,,Out of Stock,17
,2947,1.093895333,Out of Stock,
,2841,2.510971236,In Stock,40
B,3923,1.475052808,In Stock,10
,5658,3.963020663,In Stock,29
,6759,,Out of Stock,35
,685,,Out of Stock,24
,5206,,,35
,5814,4.155485925,Out of Stock,12
,1419,2.375571908,,1
A,6016,1.844219155,In Stock,1
,5961,,In Stock,18
,9489,,In Stock,5
,1558,,,12
,3892,1.980228881,In Stock,6
,6904,,Out of Stock,36
,663,3.084386434,Out of Stock,5
A,1910,4.817531509,In Stock,
,2804,1.354193998,Out of Stock,35
D,8625,4.025419857,,36
,8800,4.36678652,Out of Stock,26
,3689,,Out of Stock,3
A,6869,3.010511246,Out of Stock,49
,3601,,In Stock,22
,6657,,,47
C,,,Out of Stock,35
D,5146,,In Stock,10
B,4242,3.993229234,Out of Stock,47
,7098,1.301853306,,23
A,3348,,In Stock,16
,4592,,Out of Stock,25
A,7005,,,22
A,5074,,Out of Stock,41
A,9602,,,31
,3742,4.209122066,In Stock,19
D,454,,Out of Stock,32
,4903,4.615306042,,39
,9658,,Out of Stock,15
,4198,,Out of Stock,29
A,6336,3.648349511,In Stock,11
,9794,4.43355968,In Stock,39
D,2201,,In Stock,25
,5323,,Out of Stock,16
A,9152,4.768849527,Out of Stock,11
,5420,,Out of Stock,21
D,4763,,Out of Stock,11
,247,,In Stock,
,2060,4.743226108,Out of Stock,
A,3372,,In Stock,5
D,8544,,,29
,,,,47
,3299,3.00489845,Out of Stock,32
,2107,,Out of Stock,11
C,6765,3.4017721,,35
,1853,,Out of Stock,11
C,8773,3.892084161,Out of Stock,
,6671,,,30
C,8398,3.407813915,Out of Stock,4
D,8742,,,4
,8334,2.562769446,In Stock,16
B,2790,,In Stock,
B,6781,,Out of Stock,21
,1215,2.382519172,In Stock,30
A,,,In Stock,14
,8857,,In Stock,15
D,2882,3.691887481,Out of Stock,
,6234,,In Stock,28
,1214,1.488996797,In Stock,4
A,6991,1.099149137,In Stock,21
,3364,,Out of Stock,3
,8785,1.23113598,Out of Stock,11
,7313,,Out of Stock,1
,9999,1.834954053,,30
,8760,,In Stock,49
B,7933,,In Stock,36
,6092,2.596015228,Out of Stock,39
,5178,3.335105401,In Stock,20
,8863,,Out of Stock,
D,8514,4.704094089,Out of Stock,46
A,7939,1.820137988,Out of Stock,48
A,1439,1.499808924,In Stock,28
,6981,,Out of Stock,24
,7682,2.309511396,Out of Stock,22
,5937,,In Stock,
A,185,,Out of Stock,9
,5796,,In Stock,44
,3646,,Out of Stock,33
,6547,3.590183981,,6
,1523,1.246447334,Out of Stock,22
,9483,2.823328922,In Stock,
,9045,,,39
,7897,,In Stock,27
C,7384,,Out of Stock,24
A,597,,Out of Stock,40
,6194,3.223523934,In Stock,14
,1454,,In Stock,37
,8628,,,14
D,,,In Stock,43
,1401,,In Stock,
,9590,,In Stock,41
,4467,,In Stock,0
,8003,1.27196341,Out of Stock,5
,5934,,In Stock,18
,2861,4.204148109,,
,5376,1.72914477,,8
,4887,,,23
,3204,3.085218314,In Stock,35
,8557,,Out of Stock,10
D,3152,1.574379971,In Stock,6
,1386,,In Stock,23
D,6728,,In Stock,39
,2194,1.064226126,Out of Stock,22
,7452,,In Stock,14
,5192,1.664111382,Out of Stock,
,9782,2.471080862,In Stock,
,7433,,,12
,5036,,Out of Stock,
,4740,,Out of Stock,42
D,1263,,In Stock,
D,8357,1.757112961,In Stock,37
C,4883,3.356603182,In Stock,20
C,8437,3.876005948,Out of Stock,21
,3543,3.545775899,In Stock,6
C,6441,,In Stock,0
A,8882,,In Stock,28
D,731,,In Stock,16
B,9812,3.759160335,In Stock,25
,7728,3.422209755,In Stock,45
D,1824,1.090942422,In Stock,3
,3447,,Out of Stock,45
,7622,2.701567655,In Stock,15
B,3420,1.184857146,In Stock,19
B,8741,3.932441094,Out of Stock,
,3074,,,3
,,1.121555883,,32
A,3745,4.205694491,In Stock,9
,3042,,Out of Stock,16
,2400,1.381172582,Out of Stock,34
C,4096,,In Stock,42
,4157,,Out of Stock,30
,5339,,Out of Stock,39
D,4602,,Out of Stock,17
D,1966,4.343531411,In Stock,4
D,7406,3.664133949,In Stock,
,2708,4.139442601,In Stock,44
,,1.065801831,In Stock,7
D,1222,,Out of Stock,49
B,3681,,Out of Stock,8
,8110,,,48
D,9430,1.948900071,In Stock,15
A,1328,,Out of Stock,30
C,6185,4.989849875,Out of Stock,39
,5541,,In Stock,7
,9933,,Out of Stock,40
C,3528,4.685441757,,
,4323,,Out of Stock,45
,1421,1.901802966,,49
,8414,,,24
,575,3.180869426,In Stock,40
,5611,,Out of Stock,33
D,3767,,Out of Stock,33
D,9988,1.906103855,,
,5666,2.836677187,In Stock,49
,9959,4.622992545,,46
,8091,2.238475112,,47
A,7967,3.715056819,In Stock,42
,1011,3.15051958,Out of Stock,10
A,2593,1.145519882,,43
,9961,2.60381616,,
D,9227,2.25204924,,9
B,7307,,,36
,5364,,In Stock,29
,1838,3.381167573,Out of Stock,18
,,3.185219381,In Stock,21
B,2997,1.190652467,In Stock,16
,2531,4.923267636,,30
,2437,4.981286012,In Stock,
C,3034,3.769339664,Out of Stock,11
B,4573,1.823093667,In Stock,5
C,2466,2.521499444,In Stock,44
B,2242,,In Stock,13
,7805,,,20
,2527,4.841731762,Out of Stock,49
,1378,,In Stock,44
,6905,,,35
,4960,3.991063665,Out of Stock,31
,5019,,Out of Stock,17
,8568,2.269634938,In Stock,15
,7198,,,18
B,4905,,Out of Stock,23
,9922,4.96669598,In Stock,42
,2774,,,0
A,4519,4.487539499,In Stock,39
,7967,,In Stock,13
,6551,,,28
C,3831,3.971501091,,19
C,2740,,In Stock,0
C,9069,,In Stock,28
,743,3.266645301,In Stock,
,,,,
A,8725,3.855020977,,9
B,6703,,In Stock,9
,,1.802828523,Out of Stock,19
,7842,3.587589046,In Stock,16
A,6161,2.01289795,Out of Stock,18
C,6083,2.233474516,Out of Stock,36
,7025,4.430414663,,25
,276,3.447754406,,3
,4369,4.083849652,Out of Stock,8
,6546,,In Stock,49
,2810,2.912595366,In Stock,47
,5181,,In Stock,44
A,6848,4.92754188,Out of Stock,26
,968,1.046048972,In Stock,42
D,1999,3.613690763,Out of Stock,20
B,7902,1.739979408,,44
C,5369,,,29
A,1138,4.743874686,In Stock,4
,9151,1.225874172,In Stock,18
,1351,2.739138172,In Stock,3
,3016,1.246998966,,1
C,1132,2.043756276,Out of Stock,12
,4874,,In Stock,20
D,,4.019948636,Out of Stock,5
,1112,,Out of Stock,1
,7446,,In Stock,42
,4877,,In Stock,30
A,7769,,,45
A,4347,4.900050372,,25
,5350,,Out of Stock,27
C,3150,,,7
C,7050,,In Stock,37
B,6363,3.74076211,Out of Stock,13
,7639,,Out of Stock,33
B,1570,3.901696196,,39
C,3725,3.971817822,,8
,1253,,In Stock,24
,4657,,In Stock,30
,5411,,Out of Stock,
,3130,,In Stock,3
D,4062,3.519621107,Out of Stock,
B,8524,,,5
,8290,,In Stock,
,4264,3.909681734,In Stock,3
,3030,4.987106105,Out of Stock,37
,105,1.56339958,Out of Stock,31
,4951,,,41
,9551,,Out of Stock,4
B,8084,,,24
,9269,,Out of Stock,10
,9928,,In Stock,27
,7405,,In Stock,31
,4552,1.764918317,Out of Stock,28
,9251,,Out of Stock,19
D,4983,4.27248989,,7
,9159,4.059865053,Out of Stock,9
,3652,3.559027854,In Stock,24
,7022,1.51632024,Out of Stock,14
D,547,1.47609924,In Stock,15
,7669,,,42
,5107,,In Stock,17
,6717,4.740635466,In Stock,20
,3245,4.319033347,Out of Stock,14
,5577,4.163708035,,43
,7120,3.453084548,Out of Stock,33
A,,,In Stock,18
D,6841,1.983767141,Out of Stock,28
B,5059,,Out of Stock,16
B,5194,3.016283432,Out of Stock,12
,1656,2.058124524,,6
,2876,3.180535028,,24
,2904,3.736084141,,43
,8144,,In Stock,18
,9151,,,27
,8378,1.093233748,Out of Stock,35
B,6686,3.447834819,,49
B,7901,3.881902706,In Stock,31
A,7316,1.143166819,In Stock,0
,3029,,Out of Stock,
,2197,1.770328026,Out of Stock,30
A,2030,,Out of Stock,
,,,In Stock,44
,9213,,Out of Stock,47
,1422,2.226139979,Out of Stock,28
,2691,,,48
,1258,2.581632086,In Stock,29
,8763,4.802447805,Out of Stock,11
,6433,1.790422154,In Stock,
,7440,,Out of Stock,25
A,,2.726068144,Out of Stock,34
,7003,,In Stock,3
,7088,4.278213986,Out of Stock,26
A,1578,,,
D,565,1.614622863,,49
,2723,,In Stock,44
,3928,,In Stock,9
,4732,,Out of Stock,45
,3521,,,33
D,3056,,In Stock,3
,8187,2.392584276,Out of Stock,25
,6147,,,4
C,4882,,In Stock,8
,834,4.433580489,Out of Stock,42
,6961,,,10
,1398,,In Stock,13
B,4700,1.311550036,Out of Stock,22
,7868,3.742643663,,14
,8635,,,30
,4601,3.393927341,Out of Stock,7
C,873,,In Stock,15
A,3947,,,48
A,552,4.36343691,,47
,1398,3.348483731,Out of Stock,31
B,8686,4.033833309,Out of Stock,11
B,3958,2.367321407,,13
,166,4.983784435,Out of Stock,45
,4374,1.124329678,In Stock,13
,9265,,In Stock,47
D,9181,,Out of Stock,14
,9966,,Out of Stock,16
,7087,,Out of Stock,47
D,3673,2.919233192,Out of Stock,40
C,6764,,,46
,8254,,,7
,2470,2.790822701,Out of Stock,23
A,7870,,Out of Stock,45
,9526,,In Stock,5
,3396,2.132233505,,35
,,2.735325813,In Stock,47
B,8533,,,1
,6313,4.445257202,Out of Stock,18
A,1188,2.515534993,In Stock,31
,2365,,Out of Stock,31
B,288,2.00125054,In Stock,11
,5009,3.082572756,Out of Stock,37
,9634,,In Stock,48
,9485,,,24
,7374,,,43
,233,2.647735832,In Stock,7
C,5326,2.471724024,,4
A,5257,,,31
A,1853,3.041639608,,15
,5317,1.813418657,,22
C,808,,In Stock,9
D,2736,2.46595822,In Stock,12
,2232,2.41188537,In Stock,2
,9229,3.912481119,In Stock,40
,,1.701949858,Out of Stock,35
,6409,3.843182174,Out of Stock,35
,6220,,In Stock,44
,9759,,In Stock,5
,7023,3.505974196,In Stock,
,6842,,In Stock,14
,5062,,,17
C,3730,1.336815721,,42
,2291,,In Stock,29
,5948,,Out of Stock,
D,6160,,,1
A,3472,1.56741013,,
,993,3.714865606,In Stock,41
,8700,,In Stock,30
B,2998,4.085514592,In Stock,7
C,,,In Stock,29
,6281,2.716134134,In Stock,41
D,1157,2.168744315,,25
,7092,,In Stock,25
C,,,Out of Stock,34
C,4037,1.479951675,In Stock,43
A,8210,,Out of Stock,10
A,6791,,,33
,219,3.346222321,,25
,4601,,,33
A,5393,1.076529755,In Stock,47
,2042,,,20
C,3441,2.072512581,In Stock,37
,5040,2.846823344,In Stock,39
A,3933,3.095869691,,21
,3098,,In Stock,21
,5659,,In Stock,23
B,6606,,,45
,4650,3.36303516,In Stock,3
,4578,,,22
,367,4.611745324,,38
C,5908,,,35
,7765,,,35
,860,,In Stock,28
,,2.684314027,,30
A,4207,,Out of Stock,15
C,4576,,,
,4687,2.993865501,,49
,2018,4.97436591,,34
C,8305,2.937883361,In Stock,31
,4499,4.720944428,In Stock,13
,8795,,In Stock,15
,3502,4.624240558,,30
,3947,,In Stock,39
,9466,,In Stock,34
,8214,1.554900282,In Stock,19
C,6046,1.216510866,In Stock,12
,6731,,,24
A,8200,,In Stock,22
,7809,,In Stock,17
A,4330,,,35
,1999,,Out of Stock,29
,193,,In Stock,39
,4765,,Out of Stock,27
D,9415,,,3
C,4025,,,42
,3141,,In Stock,13
,6168,,Out of Stock,24
,5146,,In Stock,23
,,1.495261871,Out of Stock,47
,1525,4.973268896,Out of Stock,46
,7785,1.421898336,Out of Stock,39
A,4204,1.856500575,,15
D,9107,2.469263463,In Stock,23
B,,,In Stock,37
C,5684,,,35
,2809,3.898357755,Out of Stock,28
,8837,,,48
,2006,3.910314087,,27
A,7013,,Out of Stock,47
,4089,,Out of Stock,34
,9491,,Out of Stock,25
,2256,2.417251829,,47
A,302,,In Stock,30
A,6586,3.97081675,Out of Stock,13
,3121,3.249918034,Out of Stock,43
,1880,4.177729957,Out of Stock,33
B,6307,4.641240874,,
C,3051,1.052618509,In Stock,41
B,8664,,,10
C,583,4.87028266,,39
,5284,4.724694015,In Stock,45
B,3582,,Out of Stock,43
,9200,3.984146671,In Stock,23
C,9372,2.307738301,Out of Stock,26
,6241,,In Stock,44
D,8713,4.836304463,Out of Stock,38
,4272,1.004562587,Out of Stock,32
,3440,1.804972601,In Stock,
,4648,4.242985533,In Stock,44
,340,4.886310787,Out of Stock,27
,882,3.046103172,Out of Stock,11
,9787,4.349021263,In Stock,25
C,,4.0738973,Out of Stock,
,4752,2.824110914,Out of Stock,20
,3282,,,13
,2619,2.42431572,,
,9534,,,32
,5870,,Out of Stock,15
,1519,2.679388146,Out of Stock,32
,2422,,,28
D,3510,,Out of Stock,28
,699,4.37583811,In Stock,9
,1860,2.326358234,In Stock,48
,9630,,In Stock,21
A,6253,,In Stock,
D,1533,,Out of Stock,
C,7259,,Out of Stock,5
,8388,3.936083685,In Stock,49
B,2801,,In Stock,10
A,8976,2.675012434,In Stock,5
,6855,,In Stock,
,6487,3.275214523,Out of Stock,9
C,513,1.551308786,,18
,7743,,In Stock,45
A,4844,2.809743585,Out of Stock,
C,8867,2.789754486,,25
,8794,,In Stock,34
,7446,2.516384461,Out of Stock,5
,169,2.598798249,,49
,6130,,,12
,1151,1.870206341,,9
,1893,2.415329928,Out of Stock,33
C,7446,,In Stock,
,2641,4.057688277,Out of Stock,5
C,8832,2.184752213,,45
D,7785,1.962680409,,2
,9041,,Out of Stock,42
C,358,1.534718218,,5
,4122,1.17127608,Out of Stock,15
D,9914,4.224213898,,33
D,7398,4.539260482,In Stock,45
A,5533,,In Stock,31
C,9942,3.098893349,In Stock,41
,5889,1.011499178,,35
C,2065,2.773372451,,38
,3573,1.681781055,,8
,7249,,Out of Stock,40
,2863,,Out of Stock,20
,3149,2.436181742,Out of Stock,11
D,2597,2.693039161,In Stock,22
C,,2.520140576,Out of Stock,48
,8502,,,16
B,4377,2.58527386,Out of Stock,23
,2188,2.075837576,In Stock,12
,1125,,,17
,421,2.204065103,,6
,8287,4.359452058,In Stock,35
C,1039,2.944642999,Out of Stock,44
,4290,2.470568033,Out of Stock,0
D,4297,3.303322214,In Stock,5
B,2557,,In Stock,7
,8483,1.353439152,,44
A,,3.979337342,In Stock,21
,3742,,Out of Stock,3
,8017,1.612055887,,3
D,4910,4.989577355,In Stock,45
,4429,,In Stock,8
,4192,3.108584267,,1
C,5687,,Out of Stock,7
A,9116,2.16027754,In Stock,45
A,573,,In Stock,23
A,6107,1.163184958,Out of Stock,22
,9464,,,24
,5125,,Out of Stock,49
,480,2.895213765,In Stock,21
,3122,,In Stock,46
D,8873,3.248184262,In Stock,41
C,1189,4.957681199,Out of Stock,34
,9697,3.334450241,,11
A,3592,,,31
,1891,,,14
D,9584,2.338223783,,27
,3908,2.390631587,Out of Stock,27
,3584,,,44
D,3996,,Out of Stock,25
,6618,1.840089433,In Stock,48
B,5054,1.893145253,In Stock,5
D,8760,,In Stock,42
B,6166,,,47
,6557,,,9
D,9794,2.130339376,Out of Stock,14
C,7693,,In Stock,35
A,5896,,Out of Stock,41
,462,1.331008698,In Stock,29
,4673,4.846201403,Out of Stock,0
B,5031,1.864217036,In Stock,25
,8671,,In Stock,0
,3262,,In Stock,8
A,2970,2.028725181,Out of Stock,2
,6708,3.177204226,In Stock,24
,9054,3.166292267,,26
,7272,2.366807906,,29
C,7873,3.991883776,Out of Stock,42
,5940,4.850522226,Out of Stock,7
,2209,2.247698083,,3
,3151,1.991498846,In Stock,8
A,6911,2.338003976,Out of Stock,11
,438,,In Stock,21
,,,In Stock,19
,2761,2.259845774,,14
,6361,3.957523113,,5
C,1445,,,38
,4659,3.793331203,In Stock,15
,9158,,In Stock,25
C,9306,4.131448624,In Stock,18
,2807,3.217156054,Out of Stock,39
A,1297,,In Stock,36
,4847,,In Stock,41
D,8255,4.187392001,In Stock,36
D,7894,1.339054719,In Stock,
,8209,1.927910222,Out of Stock,19
,7265,1.420038295,In Stock,37
B,4930,3.321333154,Out of Stock,9
,,2.86768717,Out of Stock,16
D,4999,,Out of Stock,40
,,4.588041206,Out of Stock,
,2929,2.744012447,Out of Stock,46
D,4529,,,4
,3509,,In Stock,10
,9098,2.03745842,Out of Stock,6
,1567,,,37
,926,,Out of Stock,21
,7538,2.529976294,,29
D,2797,2.954738492,In Stock,26
,3772,,In Stock,44
,6302,1.883031279,,6
,8094,1.378041747,Out of Stock,30
C,9873,,In Stock,19
C,9016,3.73164719,,26
B,3621,3.269276521,In Stock,16
C,8629,,Out of Stock,45
A,7487,,Out of Stock,43
,877,3.959481763,,22
,7058,2.520362723,Out of Stock,47
A,5055,2.782292682,,7
A,1251,,,40
D,1294,,In Stock,
,3984,4.06813389,Out of Stock,
,2865,3.555979815,,43
,7325,4.202239555,In Stock,22
C,4222,,In Stock,23
,2470,1.037354008,In Stock,41
,1647,4.284220098,,27
C,4351,4.134765174,Out of Stock,5
,9352,,Out of Stock,31
D,9356,3.333491496,In Stock,17
,716,4.568742635,In Stock,17
B,5510,3.782282474,Out of Stock,17
C,3203,,,0
,3455,4.403373498,,38
,3416,3.727636517,Out of Stock,10
,1558,,In Stock,28
D,177,,In Stock,31
B,8493,3.798117786,Out of Stock,3
,6706,3.550703657,,11
,823,3.308216385,In Stock,
D,9753,1.959063647,Out of Stock,8
,7635,,In Stock,12
A,3424,4.690404921,Out of Stock,
,8221,4.772532426,,36
,5135,,,35
A,9272,2.459474979,,37
,8406,1.291421111,Out of Stock,11
C,6357,2.131057288,In Stock,5
B,3626,,Out of Stock,0
A,9516,,In Stock,
,1506,,,34
C,7605,3.035017053,In Stock,8
,6609,,,
B,8569,4.300744484,In Stock,42
,3804,2.127545537,In Stock,21
C,1628,,In Stock,0
,8319,2.065992999,In Stock,
B,5557,2.91771379,Out of Stock,14
B,8722,3.391188478,In Stock,26
,2642,3.684924392,Out of Stock,49
,913,1.33280838,In Stock,15
,3103,2.839374537,In Stock,20
C,8687,2.609026342,In Stock,19
,5699,3.194113461,Out of Stock,
C,9686,4.713512142,,27
,1557,1.635867213,In Stock,23
,5236,2.290243723,,10
,8598,,,47
D,7621,,Out of Stock,30
,3130,3.076447468,,16
,3086,,Out of Stock,2
C,1051,2.984321748,In Stock,10
,5887,2.157057952,In Stock,48
,1320,2.358778012,,12
,7446,1.530568331,Out of Stock,31
,505,,Out of Stock,30
,5334,,Out of Stock,14
,3389,1.941900547,Out of Stock,2
,5945,3.554980561,Out of Stock,23
,1142,2.259947259,Out of Stock,16
,4138,3.458852846,,
,3526,2.182272453,Out of Stock,18
,2604,,Out of Stock,
,9502,4.058366709,In Stock,4
,3542,2.27055598,Out of Stock,36
,8987,4.58098193,Out of Stock,32
,,3.994311876,,10
A,9933,,,15
,9887,1.721344109,,12
,6994,3.82123986,Out of Stock,11
,7477,3.630518223,In Stock,25
,9198,4.495473934,Out of Stock,40
A,3125,,,18
,4070,,,46
,2190,,,10
,7550,,,
,2023,4.904290374,,31
